source_text_sample	source_hash	occurrences	surface_count	surfaces	locations	manual_translations
Popo Stone	445dc6951c18	4	2	lang0,tbl	lang0:lang0.pak:DST_MINIMAP_POPOSTONE | lang0:lang0.pak:DST_POPOSTONE_TITLE | lang0:lang0.pak:DST_TELEPORT_TYPE_POPOSTONE | tbl:tbl1.pak:0x0181CA21	
Quest Search	1f5ad62d8f21	4	2	lang0,tbl	lang0:lang0.pak:DST_SCOUTERPARTS_QUEST_SEARCH | lang0:lang0.pak:DST_SCOUTER_POSSIBLE_QUEST | tbl:tbl1.pak:0x0186BE6C | tbl:tbl1.pak:0x01868A57	
Rank Battle	69a9efd8e4e4	4	2	lang0,tbl	lang0:lang0.pak:DST_RANK_BATTLE | lang0:lang0.pak:DST_RB_SIDE_DOING_RANKBATTLE | tbl:tbl1.pak:0x0186BF88 | tbl:tbl1.pak:0x018CB219	
Seal Coin	6e71367bb8b6	4	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:199190:0 | tbl:tbl1.pak:0x012EC787 | tbl:tbl1.pak:0x015DF839 | tbl:tbl1.pak:0x01664599	
Special	942078ca2d04	4	2	lang0,tbl	lang0:lang0.pak:DST_HOIPOIMIX_RECIPE_FILTER_SPECIAL | lang0:lang0.pak:DST_SCOUTER_PC_VIEWER_SPECIAL | tbl:tbl0.pak:0x01341695 | tbl:tbl0.pak:0x01341B03	
Spiritualist	73b3809d295d	4	2	lang0,tbl	lang0:lang0.pak:DST_HUMAN_MYSTIC | tbl:tbl0.pak:0x013B132D | tbl:tbl1.pak:0x0186BB12 | tbl:tbl1.pak:0x01862ECF	气功师 [lang0:lang0.pak:DST_HUMAN_MYSTIC]
Super Saiyan Blue	e3d83892aa72	4	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:1510120:0 | taiwan:table_text_all_data.rdf:7:1510120:0 | tbl:tbl1.pak:0x0133DD3B | tbl:tbl1.pak:0x01799869	超级赛亚人蓝色 [taiwan:table_text_all_data.rdf:3:1510120:0] | 超级赛亚人蓝色 [taiwan:table_text_all_data.rdf:7:1510120:0]
Trumpet	66c3284825be	4	2	lang0,tbl	lang0:lang0.pak:DST_INSTRUMENT | tbl:tbl0.pak:0x012732BD | tbl:tbl1.pak:0x01368CD5 | tbl:tbl1.pak:0x0186338F	乐器 [lang0:lang0.pak:DST_INSTRUMENT] | 号角 [tbl:tbl0.pak:0x012732BD]
Upgrade Stone	5b466ecc5c8f	4	3	lang0,taiwan,tbl	taiwan:local_data.dat:DST_DOJO_UPGRADE_NEED_ITEM | lang0:lang0.pak:DST_DOJO_UPGRADE_NEED_ITEM | tbl:tbl1.pak:0x012ECBE5 | tbl:tbl1.pak:0x015B9F53	升级石 [taiwan:local_data.dat:DST_DOJO_UPGRADE_NEED_ITEM]
Wonder Majin	89fdfb37cb7f	4	2	lang0,tbl	lang0:lang0.pak:DST_WONDER_MAJIN | tbl:tbl0.pak:0x013B191D | tbl:tbl1.pak:0x0186BB7E | tbl:tbl1.pak:0x01862F21	意魔人 [lang0:lang0.pak:DST_WONDER_MAJIN]
AM	80d305c58f97	3	2	lang0,taiwan	taiwan:local_data.dat:DST_BUDOKAI_NOTICE_GUIDE_TIME_AM | lang0:lang0.pak:DST_BUDOKAI_NEWS_NOTICE_GUIDE_TIME_AM | lang0:lang0.pak:DST_BUDOKAI_NOTICE_GUIDE_TIME_AM	
Available	7c62a1424469	3	2	lang0,taiwan	taiwan:local_data.dat:DST_ENABLE | lang0:lang0.pak:DST_ENABLE | lang0:lang0.pak:DST_MARKET_USE_ITEM	可用 [lang0:lang0.pak:DST_MARKET_USE_ITEM]
Challenge	bb9d653f4e12	3	2	lang0,tbl	lang0:lang0.pak:DST_CCBD_REWARD_SELECT_CHALLENGE | lang0:lang0.pak:DST_CCBD_REWARD_STATE_CHALLENGE_NEXT | tbl:tbl1.pak:0x018627F9	
COMMAND	2e4854d8dd31	3	3	lang0,taiwan,tbl	taiwan:local_data.dat:DST_TELEPORT_TYPE_COMMAND | lang0:lang0.pak:DST_TELEPORT_TYPE_COMMAND | tbl:tbl1.pak:0x012CFDC2	命令 [taiwan:local_data.dat:DST_TELEPORT_TYPE_COMMAND]
Compensation Pack	7d27b594598c	3	2	taiwan,tbl	taiwan:table_text_all_data.rdf:13:10100290:0 | tbl:tbl1.pak:0x0169A551 | tbl:tbl1.pak:0x0186B19F	
Crane Hermit	343f0d6f9cd9	3	2	lang0,tbl	lang0:lang0.pak:DST_CRANE_ROSHI | tbl:tbl1.pak:0x01860E33 | tbl:tbl1.pak:0x01863021	鹤仙流 [lang0:lang0.pak:DST_CRANE_ROSHI]
Damage	7bf6d1d3a58a	3	2	lang0,tbl	lang0:lang0.pak:DST_ITEMUPGRADE_INFO_OFFENCE | lang0:lang0.pak:DST_SCOUTER_DD | tbl:tbl1.pak:0x01860B67	
Dragon Ball Radar	038fdc11284e	3	2	lang0,tbl	lang0:lang0.pak:DST_SCOUTER_CHECK_DRAGONBALL | tbl:tbl1.pak:0x017F79F0 | tbl:tbl1.pak:0x01862061	
Dragon Cave	4b157a7fdd3e	3	2	lang0,tbl	lang0:lang0.pak:DST_CITYMAP_DRAGON | tbl:tbl1.pak:0x01808AAA | tbl:tbl1.pak:0x01865BC9	
Duration	1370004da76f	3	2	lang0,tbl	lang0:lang0.pak:DST_COMMERCIAL_USE_TERM_LIMITED_ITEM_DURATION | tbl:tbl1.pak:0x01860A1F | tbl:tbl1.pak:0x0186377D	
End	a2bb9d34b8a1	3	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_STATE_CLEAR | lang0:lang0.pak:DST_CHAT_IME_KOR | lang0:lang0.pak:DST_DWC_STATE_CLEAR	
Engineer	05fc94b0147f	3	3	lang0,taiwan,tbl	taiwan:local_data.dat:DST_ENGINEER | lang0:lang0.pak:DST_ENGINEER | tbl:tbl1.pak:0x01862EED	工程师 [taiwan:local_data.dat:DST_ENGINEER]
Excellent	1aafbf548bd1	3	2	lang0,tbl	lang0:lang0.pak:DST_ITEM_GRADE_EXCELLENT | lang0:lang0.pak:DST_MARKET_EXCELLENTTYPE | tbl:tbl1.pak:0x018627BD	特级 [lang0:lang0.pak:DST_ITEM_GRADE_EXCELLENT] | 特级 [lang0:lang0.pak:DST_MARKET_EXCELLENTTYPE]
Female Kakashi Outfit	1702f3dd601f	3	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:7000236:0 | tbl:tbl1.pak:0x014B4B23 | tbl:tbl1.pak:0x014B5155	
Fighter	7f3c61ac8b0b	3	2	lang0,tbl	lang0:lang0.pak:DST_STREET_FIGHTER | tbl:tbl1.pak:0x012B37B9 | tbl:tbl1.pak:0x01862FD5	格斗家 [lang0:lang0.pak:DST_STREET_FIGHTER]
Friends	c11d5e1d35fb	3	2	lang0,tbl	lang0:lang0.pak:DST_COMMU_TARGET_FRIEND | lang0:lang0.pak:DST_FRIEND_TAB_FRIEND | tbl:tbl1.pak:0x01862883	好友 [lang0:lang0.pak:DST_FRIEND_TAB_FRIEND]
Gamble Test01	178eb81caf8e	3	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:2531101:0 | tbl:tbl1.pak:0x005185E2 | tbl:tbl1.pak:0x01727770	
Game Master	4b525de69e36	3	2	lang0,tbl	lang0:lang0.pak:DST_GAME_MASTER | tbl:tbl0.pak:0x00D4DD36 | tbl:tbl1.pak:0x018CA386	
GBT-Hope02	184d0ed69677	3	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:2413106:0 | tbl:tbl1.pak:0x005153EE | tbl:tbl1.pak:0x01727558	
GBT-Hope04A	dcc9dfef91c5	3	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:2413111:0 | tbl:tbl1.pak:0x00515ECA | tbl:tbl1.pak:0x017275D2	
GBT-Hope05	86dece4c5b57	3	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:2413110:0 | tbl:tbl1.pak:0x00515C9E | tbl:tbl1.pak:0x017275B8	
GBT-Hope06A	398033efc4f2	3	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:2413113:0 | tbl:tbl1.pak:0x00516322 | tbl:tbl1.pak:0x0172760A	
GBT-Hope07A	14c2b029c166	3	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:2413102:0 | tbl:tbl1.pak:0x00514B3E | tbl:tbl1.pak:0x017274E8	
GBT-Hope08A	8660a25ae0f1	3	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:2413104:0 | tbl:tbl1.pak:0x00514F96 | tbl:tbl1.pak:0x01727520	
GBT-Hope09	74164be9a025	3	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:2413108:0 | tbl:tbl1.pak:0x00515846 | tbl:tbl1.pak:0x01727588	
GRAND-HFI	44b35d019e1e	3	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:2801102:0 | tbl:tbl1.pak:0x00530422 | tbl:tbl1.pak:0x017294E6	
Guild Emblem	137ea45051a4	3	2	lang0,tbl	lang0:lang0.pak:DST_OPTION_INFO_GUILDEMBLEM | tbl:tbl1.pak:0x01867BEF | tbl:tbl1.pak:0x01868059	公会徽章 [lang0:lang0.pak:DST_OPTION_INFO_GUILDEMBLEM]
Hair	e5be3c10962e	3	2	lang0,taiwan	taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_HAIR | lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_HAIR | lang0:lang0.pak:DST_LOBBY_HAIR	发型 [taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_HAIR] | 发型 [lang0:lang0.pak:DST_LOBBY_HAIR] | 发型 [lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_HAIR]
https://dbozero.com/	ed4459d7a318	3	2	lang0,taiwan	taiwan:local_data.dat:DST_PAY_WEB | taiwan:local_data.dat:DST_PAY_REGISTER | lang0:lang0.pak:DST_NETMARBLE_CASH_PAYMENT_URL	
Jacket	89fba0298e11	3	3	lang0,taiwan,tbl	taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_JACKET | lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_JACKET | tbl:tbl1.pak:0x012D1479	上衣 [lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_JACKET]
Knockdown	0a5735256c79	3	2	lang0,tbl	lang0:lang0.pak:DST_INFOWND_RPBONUS_KNOCKDOWN | lang0:lang0.pak:DST_KNOCKDOWN | tbl:tbl1.pak:0x01860405	击倒 [lang0:lang0.pak:DST_INFOWND_RPBONUS_KNOCKDOWN]
Majin	76c650055c84	3	2	lang0,taiwan	taiwan:table_text_all_data.rdf:4:6001516:0 | lang0:lang0.pak:DST_MAJIN | lang0:lang0.pak:DST_MOB_TYPE_MAJIN	魔人 [taiwan:table_text_all_data.rdf:4:6001516:0] | 魔人 [lang0:lang0.pak:DST_MOB_TYPE_MAJIN] | 魔人 [lang0:lang0.pak:DST_MAJIN]
Master	78f3842f0201	3	2	lang0,tbl	lang0:lang0.pak:DST_GUILD_MASTER | lang0:lang0.pak:DST_SKILL_GRADE_MASTERED | tbl:tbl1.pak:0x0186274D	会长 [lang0:lang0.pak:DST_GUILD_MASTER]
Mushroom Rocks North	8197e3ff7c88	3	2	lang0,tbl	lang0:lang0.pak:DST_WORLDMAP_MUSH_NORTH | tbl:tbl1.pak:0x0180B9BC | tbl:tbl1.pak:0x01876DA0	
Namek	fa4790545002	3	2	lang0,taiwan	taiwan:table_text_all_data.rdf:4:6001515:0 | lang0:lang0.pak:DST_MOB_TYPE_NAMEC | lang0:lang0.pak:DST_NAMEK	那美克 [taiwan:table_text_all_data.rdf:4:6001515:0] | 那美 [lang0:lang0.pak:DST_MOB_TYPE_NAMEC] | 那美 [lang0:lang0.pak:DST_NAMEK]
PM	0c95dc6163ff	3	2	lang0,taiwan	taiwan:local_data.dat:DST_BUDOKAI_NOTICE_GUIDE_TIME_PM | lang0:lang0.pak:DST_BUDOKAI_NEWS_NOTICE_GUIDE_TIME_PM | lang0:lang0.pak:DST_BUDOKAI_NOTICE_GUIDE_TIME_PM	
Quest	1defd1949b9d	3	2	lang0,taiwan	taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_QUEST | lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_QUEST | lang0:lang0.pak:DST_TMQ_STATUS_QUEST	任务 [lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_QUEST]
Ranked Battle	38f6b06cd7d3	3	2	lang0,tbl	lang0:lang0.pak:DST_BUDOKAI_TEAMINFO_RECORD | lang0:lang0.pak:DST_TELEPORT_TYPE_RANKBATTLE | tbl:tbl1.pak:0x018685FB	
Request	4aed03cac49d	3	2	lang0,tbl	lang0:lang0.pak:DST_MAILSYSTEM_MAIL_ATTACH_REQ | tbl:tbl1.pak:0x012CB0D2 | tbl:tbl1.pak:0x012CDDEF	请求 [lang0:lang0.pak:DST_MAILSYSTEM_MAIL_ATTACH_REQ]
Revive	2e08bbd34b71	3	2	lang0,tbl	lang0:lang0.pak:DST_REGEN_MB_MAINWORLD_USE_POPOSTONE_CHUNK_BTN | tbl:tbl1.pak:0x0186B9C2 | tbl:tbl1.pak:0x018607FF	
Ring	96ddaccf581f	3	2	lang0,taiwan	taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_RING | lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_RING | lang0:lang0.pak:DST_RING	戒指 [taiwan:local_data.dat:DST_EQUIP_SLOT_TYPE_RING] | 戒指 [lang0:lang0.pak:DST_EQUIP_SLOT_TYPE_RING]
Saiyan	0726a00b79b5	3	2	taiwan,tbl	taiwan:table_text_all_data.rdf:4:6001517:0 | tbl:tbl1.pak:0x016CA300 | tbl:tbl1.pak:0x01860E51	赛亚人 [taiwan:table_text_all_data.rdf:4:6001517:0]
Scouter Merchant	fc26443b000c	3	2	lang0,tbl	lang0:lang0.pak:DST_JOB_SCOUTER_MERCHANT | tbl:tbl1.pak:0x01714AF0 | tbl:tbl1.pak:0x01714DF2	
Scramble	b7126cd390dc	3	2	lang0,tbl	lang0:lang0.pak:DST_DOJO_BATTLE_SCRAMBLE_OFFENCE_PLAYER | lang0:lang0.pak:DST_DOJO_SCRAMBLE_TITLE | tbl:tbl0.pak:0x00D9FEFD	
Show All	b3f85420876d	3	3	lang0,taiwan,tbl	taiwan:local_data.dat:DST_OPTION_PERF_PLAYER_FILTER_ALL | lang0:lang0.pak:DST_OPTION_PERF_PLAYER_FILTER_ALL | tbl:tbl1.pak:0x016C86D4	显示全部 [lang0:lang0.pak:DST_OPTION_PERF_PLAYER_FILTER_ALL]
Skill Master	666dc41e74c7	3	2	lang0,tbl	lang0:lang0.pak:DST_SKILL_MASTER_WINDOW_TITLE | lang0:lang0.pak:DST_WORLDMAP_SEARCH_NPC_SKILLMASTER | tbl:tbl1.pak:0x018634ED	
Stadium	f86ac7b5acb9	3	2	lang0,tbl	lang0:lang0.pak:DST_RB_FIELD | tbl:tbl1.pak:0x011AA8B9 | tbl:tbl1.pak:0x011AAA8D	
Super Saiyan God	ac9bdf952e8f	3	2	taiwan,tbl	taiwan:table_text_all_data.rdf:17:2734007:0 | tbl:tbl1.pak:0x0178EC31 | tbl:tbl1.pak:0x018726B1	超级赛亚人之神 [taiwan:table_text_all_data.rdf:17:2734007:0]
Tanjiro Hair	314e6778348a	3	2	taiwan,tbl	taiwan:table_text_all_data.rdf:3:99199977:0 | tbl:tbl0.pak:0x0127565D | tbl:tbl1.pak:0x01655393	炭治郎发型 [taiwan:table_text_all_data.rdf:3:99199977:0]
Teleporter	9c4c8c39fad1	3	2	lang0,tbl	lang0:lang0.pak:DST_JOB_POTALMAN | tbl:tbl1.pak:0x0181966D | tbl:tbl1.pak:0x01819BB1	
Time	6c82e6dd8680	3	2	lang0,taiwan	taiwan:local_data.dat:DST_BUDOKAI_NOTICE_GUIDE_TIME | lang0:lang0.pak:DST_TMQ_BOARD_LIMITE_TIME | lang0:lang0.pak:DST_BUDOKAI_NOTICE_GUIDE_TIME	时间 [taiwan:local_data.dat:DST_BUDOKAI_NOTICE_GUIDE_TIME]
Turtle Hermit	05d14536381e	3	2	lang0,tbl	lang0:lang0.pak:DST_TURTLE_ROSHI | tbl:tbl1.pak:0x01860E13 | tbl:tbl1.pak:0x01863001	龟仙流 [lang0:lang0.pak:DST_TURTLE_ROSHI]
Tutorial	2701a94c0eb5	3	2	lang0,tbl	lang0:lang0.pak:DST_TELEPORT_TYPE_TUTORIAL | lang0:lang0.pak:DST_TUTORIAL_GUIDE_TITLE | tbl:tbl1.pak:0x01862A63	
Upgrade failed.	2907ed43ab22	3	2	lang0,taiwan	taiwan:local_data.dat:DST_TABITEMUPGRADE_RESULT_FAIL | lang0:lang0.pak:DST_ITEMUPGRADE_FAIL | lang0:lang0.pak:DST_TABITEMUPGRADE_RESULT_FAIL	
Uranai Baba	9a32201f3fef	3	2	taiwan,tbl	taiwan:table_text_all_data.rdf:6:1381112:0 | tbl:tbl1.pak:0x017228BE | tbl:tbl1.pak:0x017366FE	
Wagu Machine	4ecc00b3e28d	3	2	lang0,tbl	lang0:lang0.pak:DST_WAGUWAGU_MACHINE | tbl:tbl1.pak:0x016C87D6 | tbl:tbl1.pak:0x016C8826	
Yahoi East	e759fb579653	3	2	lang0,tbl	lang0:lang0.pak:DST_WORLDMAP_YAHOI_EAST | tbl:tbl1.pak:0x0180A3D2 | tbl:tbl1.pak:0x01876B3E	
Yahoi Fortress	75f1362e0994	3	2	lang0,tbl	lang0:lang0.pak:DST_CITYMAP_YAHOI | tbl:tbl1.pak:0x0180A1DC | tbl:tbl1.pak:0x0187610C	
Yahoi West	c090f8eea309	3	2	lang0,tbl	lang0:lang0.pak:DST_WORLDMAP_YAHOI_WEST | tbl:tbl1.pak:0x0180A174 | tbl:tbl1.pak:0x01876892	
%02d : %02d : %02d	984f21c7fc56	2	2	lang0,taiwan	taiwan:local_data.dat:DST_PARTY_ROLE_SELECT_REMAIN_TIME | lang0:lang0.pak:DST_PARTY_ROLE_SELECT_REMAIN_TIME	
%2d:00	7cdd17d5a4cd	2	2	lang0,taiwan	taiwan:local_data.dat:DST_GMT_TIME_INFO | lang0:lang0.pak:DST_GMT_TIME_INFO	
%d FPS	c34e5dc085e0	2	2	lang0,taiwan	taiwan:local_data.dat:DST_FPS_LIMIT_DATE | lang0:lang0.pak:DST_FPS_LIMIT_DATE	
%d Streak	c073b0fb4ec3	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_CONDITION_RB_STRAIGHTWIN | lang0:lang0.pak:DST_DWC_CONDITION_RB_STRAIGHTWIN	%d连胜 [taiwan:local_data.dat:DST_DWC_CONDITION_RB_STRAIGHTWIN]
%d ~ %d players	ce5a68b09087	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_PLAYER_COUNT_TEXT | lang0:lang0.pak:DST_DWC_PLAYER_COUNT_TEXT	%d ~ %d名玩家 [taiwan:local_data.dat:DST_DWC_PLAYER_COUNT_TEXT]
%d*%d	c5340129ec3e	2	2	lang0,taiwan	taiwan:local_data.dat:DST_OPTION_RESOLUTION_FORMAT_WINMODE | lang0:lang0.pak:DST_OPTION_RESOLUTION_FORMAT_WINMODE	
%d:%02d	bc7fcb7a86c3	2	2	lang0,taiwan	taiwan:local_data.dat:DST_BUDOKAI_NOTICE_GUIDE_TIME_FULL | lang0:lang0.pak:DST_BUDOKAI_NOTICE_GUIDE_TIME_FULL	
%s : %s	161bd6d0a974	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SYSTEMMSG_MONSTER_QUEST | lang0:lang0.pak:DST_SYSTEMMSG_MONSTER_QUEST	
%s got a %s from the Wagu Machine	52b48efe73d0	2	2	lang0,taiwan	taiwan:local_data.dat:DST_COMMERCIAL_WAGU1ST | lang0:lang0.pak:DST_COMMERCIAL_WAGU1ST	
%s is no longer a Buuhan!	d2afc080e55b	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SYSTEMMSG_CHANGE_SUPER_BOO_DEFENDER | lang0:lang0.pak:DST_SYSTEMMSG_CHANGE_SUPER_BOO_DEFENDER	
%s is no longer a Evil Namek!	863b5b21fe42	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SYSTEMMSG_CHANGE_EVIL_NAMEK_DEFENDER | lang0:lang0.pak:DST_SYSTEMMSG_CHANGE_EVIL_NAMEK_DEFENDER	
%s is no longer a Oozaru!	eb8fd9e6ee96	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SYSTEMMSG_CHANGE_BIG_MONKEY_DEFENDER | lang0:lang0.pak:DST_SYSTEMMSG_CHANGE_BIG_MONKEY_DEFENDER	
%s is no longer a Orange Namek!	ef333af3da5d	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SYSTEMMSG_CHANGE_KING_NAMEK_DEFENDER | lang0:lang0.pak:DST_SYSTEMMSG_CHANGE_KING_NAMEK_DEFENDER	
%s is no longer a Super Boo!	5c46d7242909	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SYSTEMMSG_CHANGE_EVIL_BOO_DEFENDER | lang0:lang0.pak:DST_SYSTEMMSG_CHANGE_EVIL_BOO_DEFENDER	
%s is no longer a Super Saiyan 2!	803836725dd9	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SYSTEMMSG_CHANGE_SUPER_SAIYAN2_DEFENDER | lang0:lang0.pak:DST_SYSTEMMSG_CHANGE_SUPER_SAIYAN2_DEFENDER	
%s is no longer a Super Saiyan 3!	fd6d96236926	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SYSTEMMSG_CHANGE_SUPER_SAIYAN3_DEFENDER | lang0:lang0.pak:DST_SYSTEMMSG_CHANGE_SUPER_SAIYAN3_DEFENDER	
%s is no longer a Super Saiyan 4!	c7dec03be011	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SYSTEMMSG_CHANGE_SUPER_SAIYAN4_DEFENDER | lang0:lang0.pak:DST_SYSTEMMSG_CHANGE_SUPER_SAIYAN4_DEFENDER	
%s is no longer a Super Saiyan Blue!	e31aa91e6e11	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SYSTEMMSG_CHANGE_SUPER_SAIYANBLUE_DEFENDER | lang0:lang0.pak:DST_SYSTEMMSG_CHANGE_SUPER_SAIYANBLUE_DEFENDER	
%s ~ %s	49ad07e34b2a	2	2	lang0,taiwan	taiwan:local_data.dat:DST_BUDOKAI_NEWS_NOTICE_GUIDE_TIME_FULL | lang0:lang0.pak:DST_BUDOKAI_NEWS_NOTICE_GUIDE_TIME_FULL	
%s: 	1a4af69b854f	2	2	lang0,taiwan	taiwan:local_data.dat:DST_CHAT_MODE_TYPE | lang0:lang0.pak:DST_CHAT_MODE_TYPE	
%s[br][br]%s	6067e4fba5a2	2	2	lang0,taiwan	taiwan:local_data.dat:DST_STATUS_HONOR_HTMLTAG_HONOR | lang0:lang0.pak:DST_STATUS_HONOR_HTMLTAG_HONOR	
%s[br][br]%s[br]%s	122fbcdd75ae	2	2	lang0,taiwan	taiwan:local_data.dat:DST_STATUS_HONOR_HTMLTAG_RANKBATTLE | lang0:lang0.pak:DST_STATUS_HONOR_HTMLTAG_RANKBATTLE	
%u / %u	8db15ef0a8b9	2	2	lang0,taiwan	taiwan:local_data.dat:DST_RB_PAGE | lang0:lang0.pak:DST_RB_PAGE	
+ %u	0b18253263c5	2	2	lang0,taiwan	taiwan:local_data.dat:DST_ITEM_DIFF_STATUS | lang0:lang0.pak:DST_ITEM_DIFF_STATUS	
-	3bc15c8aae3e	2	2	lang0,taiwan	taiwan:local_data.dat:DST_MARKET_NOT_DATA | lang0:lang0.pak:DST_MARKET_NOT_DATA	
/?	87dc3087370c	2	2	lang0,taiwan	taiwan:local_data.dat:DST_CHAT_SHORT_CUT_HELP | lang0:lang0.pak:DST_CHAT_SHORT_CUT_HELP	
1)No Bus. 2)Not Ranked.	cc793fd67ef5	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_CONFIRM_WARNINR | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_CONFIRM_WARNINR	
"[align = ""center""][font size = ""12"" color=""f4d762""]Appearance Change[/font][br][br][font size = ""10"" color=""ffffff""]Edit only the Last Character used![/font]"	668ff6a5ced6	2	2	lang0,taiwan	taiwan:local_data.dat:DST_LOBBY_EDIT_ONLY_LAST | lang0:lang0.pak:DST_LOBBY_EDIT_ONLY_LAST	
"[align = ""center""][font size = ""12"" color=""f4d762""]Appearance Change[/font][br][br][font size = ""10"" color=""ffffff""]You need login your Character First![/font]"	1d6aefa9b6cf	2	2	lang0,taiwan	taiwan:local_data.dat:DST_LOBBY_MUST_LOGIN_FIRST | lang0:lang0.pak:DST_LOBBY_MUST_LOGIN_FIRST	
"[align = ""center""][font size = ""12"" color=""f4d762""]Bot Check Required[/font][br][br][font size = ""9"" color=""ffffff""]To receive experience and item drops,[br]you must complete the Bot Verification.[br][br]Complete it once for 1 hour of immunity![/font]"	bca890356ace	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SCS_LOGIN_ALERT | lang0:lang0.pak:DST_SCS_LOGIN_ALERT	"[align = ""center""][font size = ""12"" color=""f4d762""]需要防挂机验证[/font][br][br][font size = ""9"" color=""ffffff""]若要获得经验和物品掉落，[br]必须完成防挂机验证。[br][br]完成一次后1小时内免验证！[/font] [lang0:lang0.pak:DST_SCS_LOGIN_ALERT]"
"[align = ""center""][font size = ""12"" color=""f4d762""]Reset: %s[/font][br][br][font size = ""10"" color=""ffffff""]By doing this, your character will return to   Level 1 and receive a bonus. Are you sure?[/font]"	921a300b88b8	2	2	lang0,taiwan	taiwan:local_data.dat:DST_RESET_CONFIRM_MSGBOX | lang0:lang0.pak:DST_RESET_CONFIRM_MSGBOX	
"[align = ""center""][font size = ""12"" color=""f4d762""]The Server is going to shut down![/font]"	031ee7d7c026	2	2	lang0,taiwan	taiwan:local_data.dat:DST_SHUTDOWN_WARNING_MSG | lang0:lang0.pak:DST_SHUTDOWN_WARNING_MSG	
"[align = ""center""][font size=""12""color=""f4d762""]Join Dragon Ball Scramble[/font][br][br][font size=""10""color=""269eff""]Note: You can't exit Dragon Ball Scramble until it's over.[/font]"	1e5673fe3ce1	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_JOIN_CONFIRM_MSGBOX | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_JOIN_CONFIRM_MSGBOX	
"[align = ""center""][font size=""12""color=""f4d762""]Unstuck[/font][br][br][font size=""10""color=""269eff""]You will be teleported to your bind point.[/font][br][br][font size=""10""color=""ffffff""]Are you sure you want to continue?[/font]"	96e9db818c7e	2	2	lang0,taiwan	taiwan:local_data.dat:DST_UNSTUCK_CONFIRM | lang0:lang0.pak:DST_UNSTUCK_CONFIRM	
"[align = ""center""]Dragon Ball Scramble Info[br][br]Scramble full[br]no compensation in this channel"	1d228549bbb1	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_SEASON_REWARD_LIMIT_OVER_NFY | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_SEASON_REWARD_LIMIT_OVER_NFY	
"[align = ""center""]Dragon Ball Scramble[br][br]join?"	f7dae2a53ccd	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DRAGONBALL_SCRAMBLE_JOIN_MSGBOX | lang0:lang0.pak:DST_DRAGONBALL_SCRAMBLE_JOIN_MSGBOX	
"[align = ""center""]Dragon World Challenge (DWC) Entry[br][br]Remaining # of entries this week: %d[br][br]You can't withdraw.[br]Do you want to enter?[br]"	1043269b65c5	2	2	lang0,taiwan	taiwan:local_data.dat:DST_DWC_ENTER_CONFIRM | lang0:lang0.pak:DST_DWC_ENTER_CONFIRM	
